seed,data,criterion,method,K,silhouette,dunn,ari_true,runtime
3,WingNut,dunnindex,dbscan,0.2,0.02659132501838592,0.019078869592893594,-10,0.482872023
4,Atom,silhouette,dbscan,0.8,-0.01197589418642084,0.015198613375968707,-10,0.498798959
4,Atom,dunnindex,dbscan,1,-0.05972494349353041,0.01762149317622028,-10,0.774181395
4,Chainlink,silhouette,dbscan,0.1,0.16840106299246999,0.027391540377160826,-10,0.545925976
4,Chainlink,dunnindex,dbscan,0.4,0.1576347849842609,0.26492048403569285,-10,0.518370565
4,EngyTime,silhouette,dbscan,0.3,0.16050865500025896,0.010487179189725322,-10,2.148849706
4,EngyTime,dunnindex,dbscan,0.3,0.16050865500025896,0.010487179189725322,-10,3.089064183
4,Hepta,silhouette,dbscan,1,0.7017012208742636,1.0761834076521397,-10,0.131560702
4,Hepta,dunnindex,dbscan,1,0.7017012208742636,1.0761834076521397,-10,0.194854428
4,Lsun,silhouette,dbscan,0.4,0.43936196984910525,0.11705239553975084,-10,0.222906772
4,Lsun,dunnindex,dbscan,0.4,0.43936196984910525,0.11705239553975084,-10,0.231903928
4,Target,silhouette,dbscan,0.2,0.41608979392492595,0.031862524354839106,-10,0.358524796
4,Target,dunnindex,dbscan,0.4,0.27378431592522895,0.1168989585578307,-10,0.396426064
4,Tetra,silhouette,dbscan,0.4,0.5035416208491038,0.19966220595159145,-10,0.207685278
4,Tetra,dunnindex,dbscan,0.4,0.5035416208491038,0.19966220595159145,-10,0.204539565
4,TwoDiamonds,silhouette,dbscan,0.1,0.04731615677264487,0.01194496039691997,-10,0.344533863
4,TwoDiamonds,dunnindex,dbscan,0.1,0.04731615677264487,0.01194496039691997,-10,0.35744287
4,WingNut,silhouette,dbscan,0.2,0.02659132501838592,0.019078869592893594,-10,0.433644557
4,WingNut,dunnindex,dbscan,0.2,0.02659132501838592,0.019078869592893594,-10,0.458183961
5,Atom,silhouette,dbscan,0.8,-0.01197589418642084,0.015198613375968707,-10,0.473032073
5,Atom,dunnindex,dbscan,1,-0.05972494349353041,0.01762149317622028,-10,0.754152895
5,Chainlink,silhouette,dbscan,0.1,0.16840106299246999,0.027391540377160826,-10,0.447679355
5,Chainlink,dunnindex,dbscan,0.4,0.1576347849842609,0.26492048403569285,-10,0.50892511
5,EngyTime,silhouette,dbscan,0.3,0.16050865500025896,0.010487179189725322,-10,2.263708374
5,EngyTime,dunnindex,dbscan,0.3,0.16050865500025896,0.010487179189725322,-10,3.172831783
5,Hepta,silhouette,dbscan,1,0.7017012208742636,1.0761834076521397,-10,0.127825064
5,Hepta,dunnindex,dbscan,1,0.7017012208742636,1.0761834076521397,-10,0.168225594
5,Lsun,silhouette,dbscan,0.4,0.43936196984910525,0.11705239553975084,-10,0.189316335
5,Lsun,dunnindex,dbscan,0.4,0.43936196984910525,0.11705239553975084,-10,0.227341553
5,Target,silhouette,dbscan,0.2,0.41608979392492595,0.031862524354839106,-10,0.355829114
5,Target,dunnindex,dbscan,0.4,0.27378431592522895,0.1168989585578307,-10,0.392767236
5,Tetra,silhouette,dbscan,0.4,0.5035416208491038,0.19966220595159145,-10,0.204640132
5,Tetra,dunnindex,dbscan,0.4,0.5035416208491038,0.19966220595159145,-10,0.199566658
5,TwoDiamonds,silhouette,dbscan,0.1,0.04731615677264487,0.01194496039691997,-10,0.348280006
5,TwoDiamonds,dunnindex,dbscan,0.1,0.04731615677264487,0.01194496039691997,-10,0.360799787
5,WingNut,silhouette,dbscan,0.2,0.02659132501838592,0.019078869592893594,-10,0.438954603
5,WingNut,dunnindex,dbscan,0.2,0.02659132501838592,0.019078869592893594,-10,0.489901708
