"seed","data","criterion","method","K","silhouette","dunn","ari_true","runtime","filename"
2,"Chainlink","silhouette","kmeans_plus",8,0.497491167623227,0.032981004552796,-10,0.236211915,"Chainlink-silhouette-seed2"
2,"Chainlink","silhouette","hclust",10,0.495714338045537,0.0373478629998151,-10,2.434378739,"Chainlink-silhouette-seed2"
2,"Chainlink","silhouette","gmm",9,0.41563213504314,0.0153104853428734,-10,0.226513172,"Chainlink-silhouette-seed2"
2,"Chainlink","silhouette","dbscan",0.4,0.157634784984261,0.264920484035693,-10,0.253825958,"Chainlink-silhouette-seed2"
3,"Chainlink","silhouette","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-silhouette-seed3"
3,"Chainlink","silhouette","ICOT_local",8,0.372845326601145,0.00550903205640156,-10,119.625308919,"Chainlink-silhouette-seed3"
3,"Chainlink","silhouette","OCT",8,0.330467832189717,0.0107730907847841,-10,0.614516635,"Chainlink-silhouette-seed3"
3,"Chainlink","silhouette","kmeans_plus",8,0.497491167623227,0.032981004552796,-10,0.265644897,"Chainlink-silhouette-seed3"
3,"Chainlink","silhouette","hclust",10,0.495714338045537,0.0373478629998151,-10,2.225265059,"Chainlink-silhouette-seed3"
3,"Chainlink","silhouette","gmm",9,0.41563213504314,0.0153104853428734,-10,0.218190352,"Chainlink-silhouette-seed3"
3,"Chainlink","silhouette","dbscan",0.4,0.157634784984261,0.264920484035693,-10,0.257164552,"Chainlink-silhouette-seed3"
4,"Chainlink","silhouette","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-silhouette-seed4"
4,"Chainlink","silhouette","ICOT_local",8,0.372845326601145,0.00550903205640156,-10,125.672160847,"Chainlink-silhouette-seed4"
4,"Chainlink","silhouette","OCT",8,0.36497459777619,0.0107730907847841,-10,0.624012181,"Chainlink-silhouette-seed4"
4,"Chainlink","silhouette","kmeans_plus",8,0.497491167623227,0.032981004552796,-10,0.293655539,"Chainlink-silhouette-seed4"
4,"Chainlink","silhouette","hclust",10,0.495714338045537,0.0373478629998151,-10,2.640000147,"Chainlink-silhouette-seed4"
4,"Chainlink","silhouette","gmm",9,0.41563213504314,0.0153104853428734,-10,0.227814015,"Chainlink-silhouette-seed4"
4,"Chainlink","silhouette","dbscan",0.4,0.157634784984261,0.264920484035693,-10,0.170369142,"Chainlink-silhouette-seed4"
5,"Chainlink","silhouette","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-silhouette-seed5"
5,"Chainlink","silhouette","ICOT_local",8,0.372845326601145,0.00550903205640156,-10,116.036780654,"Chainlink-silhouette-seed5"
5,"Chainlink","silhouette","OCT",8,0.36497459777619,0.0107730907847841,-10,0.64023037,"Chainlink-silhouette-seed5"
5,"Chainlink","silhouette","kmeans_plus",8,0.497491167623227,0.032981004552796,-10,0.270292068,"Chainlink-silhouette-seed5"
5,"Chainlink","silhouette","hclust",10,0.495714338045537,0.0373478629998151,-10,2.352596714,"Chainlink-silhouette-seed5"
5,"Chainlink","silhouette","gmm",9,0.41563213504314,0.0153104853428734,-10,0.219398011,"Chainlink-silhouette-seed5"
5,"Chainlink","silhouette","dbscan",0.4,0.157634784984261,0.264920484035693,-10,0.395714574,"Chainlink-silhouette-seed5"
1,"EngyTime","silhouette","True",2,0.398032669066604,0.000258524331315168,1,0,"EngyTime-silhouette-seed1"
1,"EngyTime","silhouette","ICOT_local",2,0.572664305563599,0.0586743469150118,0,3309.540706784,"EngyTime-silhouette-seed1"
1,"EngyTime","silhouette","OCT",3,0.433724367218386,0.00352598712520468,-10,1.396023634,"EngyTime-silhouette-seed1"
1,"EngyTime","silhouette","kmeans_plus",3,0.437867099692937,0.00250842466018572,-10,1.475669851,"EngyTime-silhouette-seed1"
1,"EngyTime","silhouette","hclust",3,0.379090130922952,0.00565989018042938,-10,15.338265427,"EngyTime-silhouette-seed1"
1,"EngyTime","silhouette","gmm",3,0.436474295619518,0.00277577381733489,-10,0.849830849,"EngyTime-silhouette-seed1"
1,"EngyTime","silhouette","dbscan",1,0.379071712783892,0.0713868428530359,-10,1.057430468,"EngyTime-silhouette-seed1"
2,"EngyTime","silhouette","True",2,0.398032669066604,0.000258524331315168,1,0,"EngyTime-silhouette-seed2"
2,"EngyTime","silhouette","ICOT_local",2,0.572664305563599,0.0586743469150118,0,3391.688528756,"EngyTime-silhouette-seed2"
2,"EngyTime","silhouette","OCT",3,0.433724367218386,0.00352598712520468,-10,1.412210889,"EngyTime-silhouette-seed2"
2,"EngyTime","silhouette","kmeans_plus",3,0.437867099692937,0.00250842466018572,-10,1.519965923,"EngyTime-silhouette-seed2"
2,"EngyTime","silhouette","hclust",3,0.379090130922952,0.00565989018042938,-10,16.362438519,"EngyTime-silhouette-seed2"
2,"EngyTime","silhouette","gmm",3,0.436474295619518,0.00277577381733489,-10,0.876257657,"EngyTime-silhouette-seed2"
2,"EngyTime","silhouette","dbscan",1,0.379071712783892,0.0713868428530359,-10,1.088550296,"EngyTime-silhouette-seed2"
3,"EngyTime","silhouette","True",2,0.398032669066604,0.000258524331315168,1,0,"EngyTime-silhouette-seed3"
3,"EngyTime","silhouette","ICOT_local",2,0.572664305563599,0.0586743469150118,0,3145.510793385,"EngyTime-silhouette-seed3"
