"seed","data","criterion","method","K","silhouette","dunn","ari_true","runtime","filename"
3,"Chainlink","dunnindex","OCT",10,0.372936337784814,0.009365729061128,-10,0.842610958,"Chainlink-dunnindex-seed3"
3,"Chainlink","dunnindex","kmeans_plus",10,0.500516145413477,0.0302784478852165,-10,3.185007138,"Chainlink-dunnindex-seed3"
3,"Chainlink","dunnindex","hclust",9,0.476574415389627,0.0373478629998151,-10,2.658991579,"Chainlink-dunnindex-seed3"
3,"Chainlink","dunnindex","gmm",6,0.362108977812716,0.0161794097860718,-10,0.388425279,"Chainlink-dunnindex-seed3"
3,"Chainlink","dunnindex","dbscan",0.4,0.157634784984261,0.264920484035693,-10,0.712142015,"Chainlink-dunnindex-seed3"
4,"Chainlink","dunnindex","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-dunnindex-seed4"
4,"Chainlink","dunnindex","ICOT_local",2,0.00455239839208024,0.0316822855122433,0,10642.322857468,"Chainlink-dunnindex-seed4"
4,"Chainlink","dunnindex","OCT",8,0.322707339773334,0.0107609174304672,-10,0.771255884,"Chainlink-dunnindex-seed4"
4,"Chainlink","dunnindex","kmeans_plus",8,0.497237351196446,0.0302325601325604,-10,3.197463771,"Chainlink-dunnindex-seed4"
4,"Chainlink","dunnindex","hclust",9,0.476574415389627,0.0373478629998151,-10,2.789974929,"Chainlink-dunnindex-seed4"
4,"Chainlink","dunnindex","gmm",7,0.380699991935625,0.0189311375508174,-10,0.311956981,"Chainlink-dunnindex-seed4"
4,"Chainlink","dunnindex","dbscan",0.4,0.157634784984261,0.264920484035693,-10,0.76655762,"Chainlink-dunnindex-seed4"
1,"Chainlink","silhouette","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","ICOT_local",4,0.390961159440272,0.0176604268622038,-10,5738.54533675,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","OCT",10,0.316476337677694,0.0153192312168552,-10,0.682131794,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","kmeans_plus",10,0.50127463339641,0.0253854900852975,-10,3.324951128,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","hclust",10,0.495714338045537,0.0373478629998151,-10,2.700962297,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","gmm",9,0.406733213590969,0.00802793061352241,-10,0.28538732,"Chainlink-silhouette-seed1"
1,"Chainlink","silhouette","dbscan",0.1,0.16840106299247,0.0273915403771608,-10,0.722139999,"Chainlink-silhouette-seed1"
2,"Chainlink","silhouette","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-silhouette-seed2"
2,"Chainlink","silhouette","ICOT_local",4,0.390961159440272,0.0176604268622038,-10,5407.722621205,"Chainlink-silhouette-seed2"
2,"Chainlink","silhouette","OCT",10,0.314861128998329,0.0157529065332377,-10,0.704454243,"Chainlink-silhouette-seed2"
2,"Chainlink","silhouette","kmeans_plus",10,0.500534586398572,0.0301386810986729,-10,3.257856903,"Chainlink-silhouette-seed2"
2,"Chainlink","silhouette","hclust",10,0.495714338045537,0.0373478629998151,-10,2.695613448,"Chainlink-silhouette-seed2"
2,"Chainlink","silhouette","gmm",9,0.407055149399175,0.00821894833606118,-10,0.271186529,"Chainlink-silhouette-seed2"
2,"Chainlink","silhouette","dbscan",0.1,0.16840106299247,0.0273915403771608,-10,0.654333491,"Chainlink-silhouette-seed2"
3,"Chainlink","silhouette","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-silhouette-seed3"
3,"Chainlink","silhouette","ICOT_local",4,0.390961159440272,0.0176604268622038,-10,5398.503309286,"Chainlink-silhouette-seed3"
3,"Chainlink","silhouette","OCT",10,0.372936337784814,0.009365729061128,-10,0.712389742,"Chainlink-silhouette-seed3"
3,"Chainlink","silhouette","kmeans_plus",10,0.500516145413477,0.0302784478852165,-10,3.114614637,"Chainlink-silhouette-seed3"
3,"Chainlink","silhouette","hclust",10,0.495714338045537,0.0373478629998151,-10,2.627718869,"Chainlink-silhouette-seed3"
3,"Chainlink","silhouette","gmm",10,0.411723917095878,0.00821894833606118,-10,0.285361719,"Chainlink-silhouette-seed3"
3,"Chainlink","silhouette","dbscan",0.1,0.16840106299247,0.0273915403771608,-10,0.690148,"Chainlink-silhouette-seed3"
4,"Chainlink","silhouette","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-silhouette-seed4"
4,"Chainlink","silhouette","ICOT_local",4,0.390961159440272,0.0176604268622038,-10,5614.753163079,"Chainlink-silhouette-seed4"
4,"Chainlink","silhouette","OCT",10,0.316476337677694,0.0153192312168552,-10,0.722684091,"Chainlink-silhouette-seed4"
4,"Chainlink","silhouette","kmeans_plus",10,0.50127463339641,0.0253854900852975,-10,3.142999964,"Chainlink-silhouette-seed4"
4,"Chainlink","silhouette","hclust",10,0.495714338045537,0.0373478629998151,-10,2.8073435,"Chainlink-silhouette-seed4"
4,"Chainlink","silhouette","gmm",10,0.402021271061969,0.0125505833320631,-10,0.27676941,"Chainlink-silhouette-seed4"
4,"Chainlink","silhouette","dbscan",0.1,0.16840106299247,0.0273915403771608,-10,0.620503134,"Chainlink-silhouette-seed4"
5,"Chainlink","silhouette","True",2,0.157634784984261,0.264920484035693,1,0,"Chainlink-silhouette-seed5"
5,"Chainlink","silhouette","ICOT_local",4,0.390961159440272,0.0176604268622038,-10,5250.516052772,"Chainlink-silhouette-seed5"
5,"Chainlink","silhouette","OCT",10,0.330678816870154,0.00961284295306698,-10,0.719389876,"Chainlink-silhouette-seed5"
5,"Chainlink","silhouette","kmeans_plus",10,0.500804209280547,0.0307639427112836,-10,3.216586406,"Chainlink-silhouette-seed5"
5,"Chainlink","silhouette","hclust",10,0.495714338045537,0.0373478629998151,-10,2.783117842,"Chainlink-silhouette-seed5"
