"seed","data","criterion","geom_threshold","warm_start","method","K","silhouette","dunn","ari_true","runtime","filename"
2,"Atom","dunnindex",0.9,"none","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.52708781,"Atom-dunnindex-seed2-geom0.9-ws_none"
2,"Atom","dunnindex",0.9,"none","hclust",9,0.576283209451983,0.0972301957730685,-10,2.216093752,"Atom-dunnindex-seed2-geom0.9-ws_none"
2,"Atom","dunnindex",0.9,"none","gmm",3,0.419325113905826,0.0537430486798184,-10,0.249313397,"Atom-dunnindex-seed2-geom0.9-ws_none"
2,"Atom","dunnindex",0.9,"none","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.256313966,"Atom-dunnindex-seed2-geom0.9-ws_none"
2,"Atom","dunnindex",0.9,"oct","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed2-geom0.9-ws_oct"
2,"Atom","dunnindex",0.9,"oct","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,1510.008351392,"Atom-dunnindex-seed2-geom0.9-ws_oct"
2,"Atom","dunnindex",0.9,"oct","OCT",3,0.441534002314097,0.0536282032498416,-10,0.39144641,"Atom-dunnindex-seed2-geom0.9-ws_oct"
2,"Atom","dunnindex",0.9,"oct","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.522915002,"Atom-dunnindex-seed2-geom0.9-ws_oct"
2,"Atom","dunnindex",0.9,"oct","hclust",9,0.576283209451983,0.0972301957730685,-10,2.287579785,"Atom-dunnindex-seed2-geom0.9-ws_oct"
2,"Atom","dunnindex",0.9,"oct","gmm",3,0.419325113905826,0.0537430486798184,-10,0.261120405,"Atom-dunnindex-seed2-geom0.9-ws_oct"
2,"Atom","dunnindex",0.9,"oct","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.257833711,"Atom-dunnindex-seed2-geom0.9-ws_oct"
2,"Atom","dunnindex",0.99,"none","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed2-geom0.99-ws_none"
2,"Atom","dunnindex",0.99,"none","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,1968.705880938,"Atom-dunnindex-seed2-geom0.99-ws_none"
2,"Atom","dunnindex",0.99,"none","OCT",3,0.441534002314097,0.0536282032498416,-10,0.469542699,"Atom-dunnindex-seed2-geom0.99-ws_none"
2,"Atom","dunnindex",0.99,"none","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.593150669,"Atom-dunnindex-seed2-geom0.99-ws_none"
2,"Atom","dunnindex",0.99,"none","hclust",9,0.576283209451983,0.0972301957730685,-10,2.479478257,"Atom-dunnindex-seed2-geom0.99-ws_none"
2,"Atom","dunnindex",0.99,"none","gmm",3,0.419325113905826,0.0537430486798184,-10,0.258469295,"Atom-dunnindex-seed2-geom0.99-ws_none"
2,"Atom","dunnindex",0.99,"none","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.295983574,"Atom-dunnindex-seed2-geom0.99-ws_none"
2,"Atom","dunnindex",0.99,"oct","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed2-geom0.99-ws_oct"
2,"Atom","dunnindex",0.99,"oct","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,169.770552019,"Atom-dunnindex-seed2-geom0.99-ws_oct"
2,"Atom","dunnindex",0.99,"oct","OCT",3,0.441534002314097,0.0536282032498416,-10,0.353634162,"Atom-dunnindex-seed2-geom0.99-ws_oct"
2,"Atom","dunnindex",0.99,"oct","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.30691348,"Atom-dunnindex-seed2-geom0.99-ws_oct"
2,"Atom","dunnindex",0.99,"oct","hclust",9,0.576283209451983,0.0972301957730685,-10,2.125934328,"Atom-dunnindex-seed2-geom0.99-ws_oct"
2,"Atom","dunnindex",0.99,"oct","gmm",3,0.419325113905826,0.0537430486798184,-10,0.242041242,"Atom-dunnindex-seed2-geom0.99-ws_oct"
2,"Atom","dunnindex",0.99,"oct","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.157881666,"Atom-dunnindex-seed2-geom0.99-ws_oct"
3,"Atom","dunnindex",0,"none","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed3-geom0.0-ws_none"
3,"Atom","dunnindex",0,"none","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,4637.97061634,"Atom-dunnindex-seed3-geom0.0-ws_none"
3,"Atom","dunnindex",0,"none","OCT",3,0.442576946146258,0.0536282032498416,-10,0.391238919,"Atom-dunnindex-seed3-geom0.0-ws_none"
3,"Atom","dunnindex",0,"none","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.492960822,"Atom-dunnindex-seed3-geom0.0-ws_none"
3,"Atom","dunnindex",0,"none","hclust",9,0.576283209451983,0.0972301957730685,-10,2.159847826,"Atom-dunnindex-seed3-geom0.0-ws_none"
3,"Atom","dunnindex",0,"none","gmm",9,0.569812118131474,0.0498671389838498,-10,0.250381604,"Atom-dunnindex-seed3-geom0.0-ws_none"
3,"Atom","dunnindex",0,"none","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.222126948,"Atom-dunnindex-seed3-geom0.0-ws_none"
3,"Atom","dunnindex",0,"oct","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed3-geom0.0-ws_oct"
3,"Atom","dunnindex",0,"oct","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,11687.523730294,"Atom-dunnindex-seed3-geom0.0-ws_oct"
3,"Atom","dunnindex",0,"oct","OCT",3,0.442576946146258,0.0536282032498416,-10,0.352764327,"Atom-dunnindex-seed3-geom0.0-ws_oct"
3,"Atom","dunnindex",0,"oct","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.12091265,"Atom-dunnindex-seed3-geom0.0-ws_oct"
3,"Atom","dunnindex",0,"oct","hclust",9,0.576283209451983,0.0972301957730685,-10,1.435261786,"Atom-dunnindex-seed3-geom0.0-ws_oct"
3,"Atom","dunnindex",0,"oct","gmm",9,0.569812118131474,0.0498671389838498,-10,0.257082647,"Atom-dunnindex-seed3-geom0.0-ws_oct"
3,"Atom","dunnindex",0,"oct","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,0.894590791,"Atom-dunnindex-seed3-geom0.0-ws_oct"
3,"Atom","dunnindex",0.9,"none","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed3-geom0.9-ws_none"
3,"Atom","dunnindex",0.9,"none","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,2052.353218467,"Atom-dunnindex-seed3-geom0.9-ws_none"
3,"Atom","dunnindex",0.9,"none","OCT",3,0.442576946146258,0.0536282032498416,-10,0.386004374,"Atom-dunnindex-seed3-geom0.9-ws_none"
3,"Atom","dunnindex",0.9,"none","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.511147366,"Atom-dunnindex-seed3-geom0.9-ws_none"
3,"Atom","dunnindex",0.9,"none","hclust",9,0.576283209451983,0.0972301957730685,-10,2.281233975,"Atom-dunnindex-seed3-geom0.9-ws_none"
3,"Atom","dunnindex",0.9,"none","gmm",9,0.569812118131474,0.0498671389838498,-10,0.26068479,"Atom-dunnindex-seed3-geom0.9-ws_none"
3,"Atom","dunnindex",0.9,"none","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.222961768,"Atom-dunnindex-seed3-geom0.9-ws_none"
3,"Atom","dunnindex",0.9,"oct","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed3-geom0.9-ws_oct"
3,"Atom","dunnindex",0.9,"oct","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,1398.700003507,"Atom-dunnindex-seed3-geom0.9-ws_oct"
3,"Atom","dunnindex",0.9,"oct","OCT",3,0.442576946146258,0.0536282032498416,-10,0.382959695,"Atom-dunnindex-seed3-geom0.9-ws_oct"
3,"Atom","dunnindex",0.9,"oct","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.483560471,"Atom-dunnindex-seed3-geom0.9-ws_oct"
3,"Atom","dunnindex",0.9,"oct","hclust",9,0.576283209451983,0.0972301957730685,-10,2.270034423,"Atom-dunnindex-seed3-geom0.9-ws_oct"
3,"Atom","dunnindex",0.9,"oct","gmm",9,0.569812118131474,0.0498671389838498,-10,0.24991021,"Atom-dunnindex-seed3-geom0.9-ws_oct"
3,"Atom","dunnindex",0.9,"oct","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.254268201,"Atom-dunnindex-seed3-geom0.9-ws_oct"
3,"Atom","dunnindex",0.99,"none","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed3-geom0.99-ws_none"
3,"Atom","dunnindex",0.99,"none","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,1815.134411496,"Atom-dunnindex-seed3-geom0.99-ws_none"
3,"Atom","dunnindex",0.99,"none","OCT",3,0.442576946146258,0.0536282032498416,-10,0.459423024,"Atom-dunnindex-seed3-geom0.99-ws_none"
3,"Atom","dunnindex",0.99,"none","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.545274584,"Atom-dunnindex-seed3-geom0.99-ws_none"
3,"Atom","dunnindex",0.99,"none","hclust",9,0.576283209451983,0.0972301957730685,-10,2.402612061,"Atom-dunnindex-seed3-geom0.99-ws_none"
3,"Atom","dunnindex",0.99,"none","gmm",9,0.569812118131474,0.0498671389838498,-10,0.253243944,"Atom-dunnindex-seed3-geom0.99-ws_none"
3,"Atom","dunnindex",0.99,"none","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.156805851,"Atom-dunnindex-seed3-geom0.99-ws_none"
3,"Atom","dunnindex",0.99,"oct","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed3-geom0.99-ws_oct"
3,"Atom","dunnindex",0.99,"oct","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,221.930991801,"Atom-dunnindex-seed3-geom0.99-ws_oct"
3,"Atom","dunnindex",0.99,"oct","OCT",3,0.442576946146258,0.0536282032498416,-10,0.373925252,"Atom-dunnindex-seed3-geom0.99-ws_oct"
3,"Atom","dunnindex",0.99,"oct","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.363418795,"Atom-dunnindex-seed3-geom0.99-ws_oct"
3,"Atom","dunnindex",0.99,"oct","hclust",9,0.576283209451983,0.0972301957730685,-10,2.219638638,"Atom-dunnindex-seed3-geom0.99-ws_oct"
3,"Atom","dunnindex",0.99,"oct","gmm",9,0.569812118131474,0.0498671389838498,-10,0.243581135,"Atom-dunnindex-seed3-geom0.99-ws_oct"
3,"Atom","dunnindex",0.99,"oct","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.198894063,"Atom-dunnindex-seed3-geom0.99-ws_oct"
4,"Atom","dunnindex",0,"none","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed4-geom0.0-ws_none"
4,"Atom","dunnindex",0,"none","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,4301.68851298,"Atom-dunnindex-seed4-geom0.0-ws_none"
4,"Atom","dunnindex",0,"none","OCT",3,0.442576946146258,0.0536282032498416,-10,0.399337865,"Atom-dunnindex-seed4-geom0.0-ws_none"
4,"Atom","dunnindex",0,"none","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.634985798,"Atom-dunnindex-seed4-geom0.0-ws_none"
4,"Atom","dunnindex",0,"none","hclust",9,0.576283209451983,0.0972301957730685,-10,2.232074146,"Atom-dunnindex-seed4-geom0.0-ws_none"
4,"Atom","dunnindex",0,"none","gmm",3,0.41938313665665,0.0480929311055705,-10,0.266643976,"Atom-dunnindex-seed4-geom0.0-ws_none"
4,"Atom","dunnindex",0,"none","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.332130175,"Atom-dunnindex-seed4-geom0.0-ws_none"
4,"Atom","dunnindex",0,"oct","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed4-geom0.0-ws_oct"
4,"Atom","dunnindex",0,"oct","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,11077.583882664,"Atom-dunnindex-seed4-geom0.0-ws_oct"
4,"Atom","dunnindex",0,"oct","OCT",3,0.442576946146258,0.0536282032498416,-10,0.350966124,"Atom-dunnindex-seed4-geom0.0-ws_oct"
4,"Atom","dunnindex",0,"oct","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.244261927,"Atom-dunnindex-seed4-geom0.0-ws_oct"
4,"Atom","dunnindex",0,"oct","hclust",9,0.576283209451983,0.0972301957730685,-10,2.292212246,"Atom-dunnindex-seed4-geom0.0-ws_oct"
4,"Atom","dunnindex",0,"oct","gmm",3,0.41938313665665,0.0480929311055705,-10,0.273286863,"Atom-dunnindex-seed4-geom0.0-ws_oct"
4,"Atom","dunnindex",0,"oct","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,0.9508663,"Atom-dunnindex-seed4-geom0.0-ws_oct"
4,"Atom","dunnindex",0.9,"none","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed4-geom0.9-ws_none"
4,"Atom","dunnindex",0.9,"none","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,2606.362919564,"Atom-dunnindex-seed4-geom0.9-ws_none"
4,"Atom","dunnindex",0.9,"none","OCT",3,0.442576946146258,0.0536282032498416,-10,0.404063169,"Atom-dunnindex-seed4-geom0.9-ws_none"
4,"Atom","dunnindex",0.9,"none","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.694948219,"Atom-dunnindex-seed4-geom0.9-ws_none"
4,"Atom","dunnindex",0.9,"none","hclust",9,0.576283209451983,0.0972301957730685,-10,2.790647277,"Atom-dunnindex-seed4-geom0.9-ws_none"
4,"Atom","dunnindex",0.9,"none","gmm",3,0.41938313665665,0.0480929311055705,-10,0.278386998,"Atom-dunnindex-seed4-geom0.9-ws_none"
4,"Atom","dunnindex",0.9,"none","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.444073203,"Atom-dunnindex-seed4-geom0.9-ws_none"
4,"Atom","dunnindex",0.9,"oct","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed4-geom0.9-ws_oct"
4,"Atom","dunnindex",0.9,"oct","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,1544.96876303,"Atom-dunnindex-seed4-geom0.9-ws_oct"
4,"Atom","dunnindex",0.9,"oct","OCT",3,0.442576946146258,0.0536282032498416,-10,0.412434748,"Atom-dunnindex-seed4-geom0.9-ws_oct"
4,"Atom","dunnindex",0.9,"oct","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.687104655,"Atom-dunnindex-seed4-geom0.9-ws_oct"
4,"Atom","dunnindex",0.9,"oct","hclust",9,0.576283209451983,0.0972301957730685,-10,2.33802405,"Atom-dunnindex-seed4-geom0.9-ws_oct"
4,"Atom","dunnindex",0.9,"oct","gmm",3,0.41938313665665,0.0480929311055705,-10,0.269733817,"Atom-dunnindex-seed4-geom0.9-ws_oct"
4,"Atom","dunnindex",0.9,"oct","dbscan",1,-0.0597249434935304,0.0176214931762203,-10,1.300185253,"Atom-dunnindex-seed4-geom0.9-ws_oct"
4,"Atom","dunnindex",0.99,"none","True",2,0.311325057003943,0.371070999354494,1,0,"Atom-dunnindex-seed4-geom0.99-ws_none"
4,"Atom","dunnindex",0.99,"none","ICOT_local",2,0.257823150501718,0.13687273124837,1.25158008073118e-05,2009.349235385,"Atom-dunnindex-seed4-geom0.99-ws_none"
4,"Atom","dunnindex",0.99,"none","OCT",3,0.442576946146258,0.0536282032498416,-10,0.489979657,"Atom-dunnindex-seed4-geom0.99-ws_none"
4,"Atom","dunnindex",0.99,"none","kmeans_plus",3,0.446194062968273,0.052142102954956,-10,2.670099337,"Atom-dunnindex-seed4-geom0.99-ws_none"
