"seed","K_optclust","kmeans_k","true_k","score_optclust","score_kmeans_bestk","score_kmeans_kc","score_true","ari_optclust_kmeans","ari_true_kmeans","ari_true_optclust","runtime","dataname","metric","method","geom"
2,4,4,4,0.199662205951591,0.199662205951591,0.199662205951591,0.199662205951591,1,1,1,616.093962355,"Tetra","dunnindex","localsearch","geomtrue0.25"
2,4,4,4,0.199662205951591,0.199662205951591,0.199662205951591,0.199662205951591,1,1,1,468.556978713,"Tetra","dunnindex","localsearch","geomtrue0.5"
2,4,4,4,0.199662205951591,0.199662205951591,0.199662205951591,0.199662205951591,1,1,1,295.974859977,"Tetra","dunnindex","localsearch","geomtrue0.75"
2,4,4,4,0.199662205951591,0.199662205951591,0.199662205951591,0.199662205951591,1,1,1,148.000241262,"Tetra","dunnindex","localsearch","geomtrue0.9"
2,4,4,4,0.566646675092223,0.566646675092223,0.566646675092223,0.566646675092223,1,1,1,526.348805523,"Tetra","robustdunn","localsearch","geomfalse0.0"
2,4,4,4,0.566646675092223,0.566646675092223,0.566646675092223,0.566646675092223,1,1,1,488.222289659,"Tetra","robustdunn","localsearch","geomtrue0.25"
2,4,4,4,0.566646675092223,0.566646675092223,0.566646675092223,0.566646675092223,1,1,1,382.02020105,"Tetra","robustdunn","localsearch","geomtrue0.5"
2,4,4,4,0.503541620849104,0.503541620849104,0.503541620849104,0.503541620849104,1,1,1,439.831476959,"Tetra","silhouette","localsearch","geomfalse0.0"
2,4,4,4,0.503541620849104,0.503541620849104,0.503541620849104,0.503541620849104,1,1,1,276.1379563,"Tetra","silhouette","localsearch","geomtrue0.5"
2,4,4,4,0.503541620849104,0.503541620849104,0.503541620849104,0.503541620849104,1,1,1,178.667779996,"Tetra","silhouette","localsearch","geomtrue0.75"
2,4,4,4,0.500724869093963,0.503541620849104,0.503541620849104,0.503541620849104,0.986667090887558,1,0.986667090887558,127.892546965,"Tetra","silhouette","localsearch","geomtrue0.9"
2,2,2,2,0.0435439556146662,0.0220048899755519,0.0220048899755519,0.0220048899755519,0,1,0,2711.883105348,"TwoDiamonds","dunnindex","localsearch","geomfalse0.0"
2,2,2,2,0.485918709357733,0.485918709357733,0.485918709357733,0.485918709357733,1,1,1,1606.754254032,"TwoDiamonds","silhouette","localsearch","geomfalse0.0"
2,2,2,2,0.485918709357733,0.485918709357733,0.485918709357733,0.485918709357733,1,1,1,1188.647875084,"TwoDiamonds","silhouette","localsearch","geomtrue0.5"
2,2,2,2,0.485918709357733,0.485918709357733,0.485918709357733,0.485918709357733,1,1,1,802.665463567,"TwoDiamonds","silhouette","localsearch","geomtrue0.75"
2,2,2,2,0.485918709357733,0.485918709357733,0.485918709357733,0.485918709357733,1,1,1,586.951552103,"TwoDiamonds","silhouette","localsearch","geomtrue0.9"
2,5,4,2,0.192562401498757,0.294820355650725,0.238230082161111,0.195815576884185,0.39940445212332,0.85584718950503,-10,6488.088639955,"WingNut","robustdunn","localsearch","geomtrue0.25"
2,2,4,2,0.195815576884185,0.294820355650725,0.212109642105714,0.195815576884185,0.85584718950503,0.85584718950503,1,5056.950027497,"WingNut","robustdunn","localsearch","geomtrue0.5"
2,2,4,2,0.195815576884185,0.294820355650725,0.212109642105714,0.195815576884185,0.85584718950503,0.85584718950503,1,3042.149071586,"WingNut","robustdunn","localsearch","geomtrue0.75"
2,2,4,2,0.195815576884185,0.294820355650725,0.212109642105714,0.195815576884185,0.85584718950503,0.85584718950503,1,2512.248450207,"WingNut","robustdunn","localsearch","geomtrue0.9"
2,2,4,2,0.406475536235419,0.423269375584283,0.408502689593329,0.383884919047985,0.207793252992048,0.85584718950503,0.145003188261511,2141.934106293,"WingNut","silhouette","localsearch","geomfalse0.0"
2,2,4,2,0.406475536235419,0.423269375584283,0.408502689593329,0.383884919047985,0.207793252992048,0.85584718950503,0.145003188261511,1542.256780017,"WingNut","silhouette","localsearch","geomtrue0.5"
2,2,4,2,0.406475536235419,0.423269375584283,0.408502689593329,0.383884919047985,0.207793252992048,0.85584718950503,0.145003188261511,1141.154924563,"WingNut","silhouette","localsearch","geomtrue0.75"
2,2,4,2,0.406475536235419,0.423269375584283,0.408502689593329,0.383884919047985,0.207793252992048,0.85584718950503,0.145003188261511,841.206237658,"WingNut","silhouette","localsearch","geomtrue0.9"
